address,name,kind,confidence,evidence_artifact,notes
0x02208b40,overlay_0015_sub_02208b40,function,candidate,analysis/functions/summary.json,ARM prologue heuristic only
0x02208b54,overlay_0015_sub_02208b54,function,candidate,analysis/functions/summary.json,ARM prologue heuristic only
0x02208e3c,overlay_0015_sub_02208e3c,function,candidate,analysis/functions/summary.json,ARM prologue heuristic only
0x02208ffc,overlay_0015_sub_02208ffc,function,candidate,analysis/functions/summary.json,ARM prologue heuristic only
0x02209144,overlay_0015_sub_02209144,function,candidate,analysis/functions/summary.json,ARM prologue heuristic only
0x022097f4,overlay_0015_sub_022097f4,function,candidate,analysis/functions/summary.json,ARM prologue heuristic only
0x02209924,overlay_0015_sub_02209924,function,candidate,analysis/functions/summary.json,ARM prologue heuristic only
0x02209c38,overlay_0015_sub_02209c38,function,candidate,analysis/functions/summary.json,ARM prologue heuristic only
0x02209f24,overlay_0015_sub_02209f24,function,candidate,analysis/functions/summary.json,ARM prologue heuristic only
0x0220a078,overlay_0015_sub_0220a078,function,candidate,analysis/functions/summary.json,ARM prologue heuristic only
0x0220a0d4,overlay_0015_sub_0220a0d4,function,candidate,analysis/functions/summary.json,ARM prologue heuristic only
0x0220a19c,overlay_0015_sub_0220a19c,function,candidate,analysis/functions/summary.json,ARM prologue heuristic only
0x0220a41c,overlay_0015_sub_0220a41c,function,candidate,analysis/functions/summary.json,ARM prologue heuristic only
0x0220a4bc,overlay_0015_sub_0220a4bc,function,candidate,analysis/functions/summary.json,ARM prologue heuristic only
0x0220a584,overlay_0015_sub_0220a584,function,candidate,analysis/functions/summary.json,ARM prologue heuristic only
0x0220a858,overlay_0015_sub_0220a858,function,candidate,analysis/functions/summary.json,ARM prologue heuristic only
0x0220a95c,overlay_0015_sub_0220a95c,function,candidate,analysis/functions/summary.json,ARM prologue heuristic only
0x0220ac48,overlay_0015_sub_0220ac48,function,candidate,analysis/functions/summary.json,ARM prologue heuristic only
0x0220addc,overlay_0015_sub_0220addc,function,candidate,analysis/functions/summary.json,ARM prologue heuristic only
0x0220b040,overlay_0015_sub_0220b040,function,candidate,analysis/functions/summary.json,ARM prologue heuristic only
0x0220b444,overlay_0015_sub_0220b444,function,candidate,analysis/functions/summary.json,ARM prologue heuristic only
0x0220b71c,overlay_0015_sub_0220b71c,function,candidate,analysis/functions/summary.json,ARM prologue heuristic only
0x0220b8b0,overlay_0015_sub_0220b8b0,function,candidate,analysis/functions/summary.json,ARM prologue heuristic only
0x0220b96c,overlay_0015_sub_0220b96c,function,candidate,analysis/functions/summary.json,ARM prologue heuristic only
0x0220bc48,overlay_0015_sub_0220bc48,function,candidate,analysis/functions/summary.json,ARM prologue heuristic only
0x0220bdb4,overlay_0015_sub_0220bdb4,function,candidate,analysis/functions/summary.json,ARM prologue heuristic only
0x0220c0c8,overlay_0015_sub_0220c0c8,function,candidate,analysis/functions/summary.json,ARM prologue heuristic only
0x0220c294,overlay_0015_sub_0220c294,function,candidate,analysis/functions/summary.json,ARM prologue heuristic only
0x0220c520,overlay_0015_sub_0220c520,function,candidate,analysis/functions/summary.json,ARM prologue heuristic only
0x0220c71c,overlay_0015_sub_0220c71c,function,candidate,analysis/functions/summary.json,ARM prologue heuristic only
0x0220c940,overlay_0015_sub_0220c940,function,candidate,analysis/functions/summary.json,ARM prologue heuristic only
0x0220cdb8,overlay_0015_sub_0220cdb8,function,candidate,analysis/functions/summary.json,ARM prologue heuristic only
0x0220d5c8,overlay_0015_sub_0220d5c8,function,candidate,analysis/functions/summary.json,ARM prologue heuristic only
0x0220d8b8,overlay_0015_sub_0220d8b8,function,candidate,analysis/functions/summary.json,ARM prologue heuristic only
0x0220ddac,overlay_0015_sub_0220ddac,function,candidate,analysis/functions/summary.json,ARM prologue heuristic only
0x0220df3c,overlay_0015_sub_0220df3c,function,candidate,analysis/functions/summary.json,ARM prologue heuristic only
0x0220eae0,overlay_0015_sub_0220eae0,function,candidate,analysis/functions/summary.json,ARM prologue heuristic only
0x0220ec24,overlay_0015_sub_0220ec24,function,candidate,analysis/functions/summary.json,ARM prologue heuristic only
0x0220ef6c,overlay_0015_sub_0220ef6c,function,candidate,analysis/functions/summary.json,ARM prologue heuristic only
0x0220f128,overlay_0015_sub_0220f128,function,candidate,analysis/functions/summary.json,ARM prologue heuristic only
0x0220f340,overlay_0015_sub_0220f340,function,candidate,analysis/functions/summary.json,ARM prologue heuristic only
0x0220f380,overlay_0015_sub_0220f380,function,candidate,analysis/functions/summary.json,ARM prologue heuristic only
0x0220f628,overlay_0015_sub_0220f628,function,candidate,analysis/functions/summary.json,ARM prologue heuristic only
0x0220f68c,overlay_0015_sub_0220f68c,function,candidate,analysis/functions/summary.json,ARM prologue heuristic only
0x0220fc50,overlay_0015_sub_0220fc50,function,candidate,analysis/functions/summary.json,ARM prologue heuristic only
0x0220ff18,overlay_0015_sub_0220ff18,function,candidate,analysis/functions/summary.json,ARM prologue heuristic only
0x022102c0,overlay_0015_sub_022102c0,function,candidate,analysis/functions/summary.json,ARM prologue heuristic only
